nombre,nombre_corto,rol,dialogo
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato, ¿quiere réplica?, candidato por favor."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"'Y eso tiene que ver con todas las expresiones, tienen que ver con la CNTE, tiene que ver con el SNTE, con todos los maestros, yo estoy en contra de la mal llamada Reforma Educativa porque es una receta del Fondo Monetario Internacional, es parte de las llamadas Reformas Estructurales, no obedece a nuestra realidad y no resuelve el problema del atraso educativo."
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato, Carlos Puig, réplica perdón, réplica candidato Anaya."
RICARDO ANAYA,Anaya,Candidato,"Yo he sido maestro, y por supuesto que estoy del lado de las maestros y de los maestros y no estoy de acuerdo con la forma en que se ha implementado la reforma, no estoy de acuerdo en que se haya entendido como una reforma para castigar, para hostigar a las maestras y a los maestros, yo les voy a dar el trato que se merecen como verdaderas aliadas y aliados del gobierno y de los padres de familia para lograr la transformación, pero cancelar la Reforma, permitir que se vendan y hereden plazas sería absolutamente criminal."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, Candidato."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Me queda una.
GABRIELA WARKENTIN,NA,Moderador,"Candidato López Obrador le queda una, sí, sí, adelante."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"El único que vende plazas es el Secretario de Educación, es de ustedes, de ‘La Mafia del Poder’, que se vendió la plaza de toros de Aguascalientes cuando fue gobernador, los maestros no venden plazas, ya basta."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, Candidato. Candidato Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Al maestro de México yo le digo lo siguiente, hay una parte importante que debes de tomar en cuenta porque finalmente tú vives todos los días la escuela, hay condiciones paupérrimas en muchas de las escuelas, hay condiciones diferentes en todo el país, entonces tenemos que escuchar evidentemente eso. Yo he escuchado una opinión muy clara del maestro, su condición laboral no están muy de acuerdo y evidentemente haremos la reforma a la reforma precisamente para considerar que esto se de y haya tranquilidad en la escuela."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, Candidato. Carlos."
CARLOS PUIG,NA,Moderador,"Candidato Meade, el primero de sus siete compromisos con la nación dice, ‘una educación de excelencia para nuestros hijos’, pero muchas de las preguntas que nos llegaron, muchas conversaciones tenían que ver con un problema de equidad de inclusión en nuestras escuelas, todavía muchas escuelas sin baño, Tele Secundarías esto no lo podía yo creer sin luz, o que llega la luz a veces si no llega. Decía alguien ahí, ‘todavía tenemos escuelas pobres para los pobres y parece escuelas ricas en mejores lugares’. Entendiendo la necesidad de una educación de calidad, ¿cómo se puede avanzar de las dos maneras, es decir, sin olvidar que hoy los lugares más pobres del país tenemos las escuelas más pobres y al mismo tiempo tratando de apretar en lo que ha apretado en los últimos tiempos que es la calidad?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira, primero déjame hablar de la inclusión en un sentido más amplio, mi mama estudio educación especial y se especializó en terapias auditivas y la escuela tiene que ser incluyente en muchos sentidos empezando por ser incluyente para quienes enfrentan, para quienes tienen una discapacidad y ese es un primer nivel de inclusión y de justicia. Tenemos que incentivar a los maestros para quienes tengan esa vocación y todos la tienen, ser maestro no es un empleo es una vocación y hemos planteado que tengan mejores plazas los que vayan a dar clases a espacios de alta y de muy alta marginación, como un espacio de estímulo. Se ha invertido más o menos 50 mil millones de pesos en mejorar la infraestructura de las escuelas, y nosotros hemos planteado que cada escuela, estas nuevas y de tiempo completo que vamos a multiplicar por cuatro, tengan independencia presupuestal y un recurso para ir corrigiendo esas deficiencias sin necesidad de burocracia y de venir al centro."
CARLOS PUIG,NA,Moderador,"Qué bueno que habló de escuelas de tiempo completo porque leí su propuesta que tenía varias preguntas sobre esto, incluyen comida, dice, y clases de inglés, este gobierno quería hacer 40 mil y sólo le alcanzó para 23 mil por un problema presupuestal, también por un problema de planteles, no hay tantos carteles hoy porque muchos planteles tienen doble turno, ¿cómo va a arreglar eso, de dónde va a salir ese dinero? Es la tercera vez que pregunto sobre de dónde va a salir el dinero, ¿de dónde va a salir el dinero para pagar? es decir, tener 100 mil escuelas de tiempo completo es el presupuesto de la Universidad Nacional Autónoma de México, candidato Meade."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Más o menos en pura eficiencia tributaria se genera junto con el crecimiento espacios que nos permitirían darle prioridad a esa educación de tiempo completo que además se termina pagando. Preguntaba Gabriela hace un segmento, le preguntó al ‘Bronco’ que cuál era el segmento al que le apostaría y la verdad que aquí uno tiene que empezar por el primero, tenemos que empezar por educación preescolar, seguir por educación primaria si queremos tener la esperanza de llegar a la Secundaria y a la Preparatoria sabiendo que ese nivel, el de la Preparatoria, es el que nos va a abrir las mejores oportunidades, y asegurando el espacio de educación superior. Hemos hecho planteamientos sabiendo además que esta escuela de tiempo completo pasar de cuatro a ocho horas sin duda cuando uno ve los diferentes estudios, ayuda a que tengan mucho más éxito en la Superior y en la Preparatoria y la siguiente administración está obligada constitucionalmente a terminar ese grado. Ya hoy tenemos una cobertura del 85% por lo que no estamos lejos."
CARLOS PUIG,NA,Moderador,"Por ejemplo, para esa parte del bachillerato usted estaría de acuerdo como lo han hecho en otros países a flexibilizar nuestro bachillerato, a poderlo hacer tal vez técnico de un par de años, de un año para dar otras oportunidades, es bastante insensible esa parte del bachillerato."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Incluso presencialmente, tenemos tele bachilleratos, tenemos la posibilidad de que se combine la educación ya preparatoria y técnica con algunas experiencias laborales o en una enseñanza descentralizada y a distancia que la puedas hacer por internet, pero la parte de la educación tiene que empezar desde el principio, preescolar, en estancias y guarderías, tiene que empezar por una buena educación básica, pero sobre todo tiene que empezar porque nos demos cuenta que aquí la apuesta es una apuesta definitiva y que lo que está en elección no es un tema de grados, este es un tema absolutamente estructural de si ponemos a los maestros al centro nos obligamos a capacitarlos para que los niños que son el eje de la educación y no los votos que es lo que está planteando Andrés Manuel echando para atrás la reformas sea lo que domina."
CARLOS PUIG,NA,Moderador,"Usted ha sido muy duro con la gente, pero también son maestros estados pobres, se sentaría hablar el 1 de diciembre."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Me sentaría a hablar con todos, pero déjenme decir, no con la Coordinadora, con los violentos en la Coordinadora, con los que avientan piedras, con los que avientan palos, con los que impiden que se dé el tránsito y se abran los negocios, con los que no hacen del diálogo le instrumento de negociación, que no tengan duda los maestros, yo estoy absolutamente de su lado, tendrán mejores ingresos y tendrán certeza y permanencia en su tierra."
CARLOS PUIG,NA,Moderador,"Muchas gracias candidato, pidió una réplica el candidato Anaya ¿no?, no tenemos, sólo tiene réplica el candidato Anaya de hecho, ¿la quiere usar?"
RICARDO ANAYA,Anaya,Candidato,"Hoy casi tan importante como estudiar una carrera para poder tener un mejor salario es saber hablar inglés, y por eso yo propongo que como ya lo han logrado otros países como Uruguay, aprovechemos las tecnologías, hay 35 millones de personas de origen mexicano viviendo en Estados Unidos, con educación a distancia podemos lograr formar a nuestros maestros y a nuestros alumnos, yo me comprometo a que mi sexenio todos los niños en México tenga la oportunidad de aprender a hablar inglés."
CARLOS PUIG,NA,Moderador,Para la segunda réplica José Antonio Meade.
JOSÉ ANTONIO MEADE,Meade,Candidato,"Solamente para hacer una reflexión sobre educación superior, porque hoy vemos ejemplos de educación superior de mexicanos que están siendo exitosos en pensar cuáles son los retos para una visita por ejemplo, para (INAUDBIBLE) o mexicanos que están innovando con productos de vestido, que nos ayudan a detectar enfermedades, pero también tenemos universidades como la autónoma de la Ciudad de México que en 15 años y después de 10 mil millones de pesos, sólo ha titulado a mil 450 estudiantes, de nuevo, no podemos…"
CARLOS PUIG,NA,Moderador,"Tiempo candidato Meade, tiempo candidato Meade, Gabriela."
GABRIELA WARKENTIN,NA,Moderador,"Vamos al siguiente segmento, el siguiente segmento igual que el de pobreza y desigualdad, ahorita vamos hablar de ciencia y tecnología, la idea es que sea una mesa de debate entre los candidatos y cuando hablamos de ciencia y tecnología pues también les comento, y ahí ustedes lo pueden ver en las redes sociales, muy activa la comunidad de ciencia tecnología nuestro país, y hoy que no se nos olvide, nos encontramos en el Gran Museo del Mundo Maya, los mayas si muchas cosas nos dejaron entre ellos, nos dejaron un pensamiento científico y avances tecnológicos que sin duda, sin duda transformaron a la humanidad, y por eso arranco candidato López Obrador con usted, y la pregunta sería tomando la ciencia y la tecnología, ciencia y tecnología, ¿qué país nos ofrece usted desde la ciencia y la tecnología?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Bueno un país que destine más recursos a la ciencia y a la tecnología, no se cumple la ley, se establece de que debe destinarse el 1% del Producto Interno Bruto, se está destinando la mitad para ciencia tecnología, necesitamos avanzar, tengo aquí unos datos, en el índice global de innovación por ejemplo, en 2007 teníamos el lugar 37 en el mundo y en 2017 el lugar 58, es decir hemos retrocedido como en todo desgraciadamente, yo voy a proponer, aprovecho esta oportunidad, anunció que la doctora María Elena Álvarez-Buylla Roce, especialista…"
GABRIELA WARKENTIN,NA,Moderador,"Tiempo candidato, deme tiempo, tiempo candidato ahorita regresamos con usted, tiempo candidato, lo agarró el tiempo, le hago la misma pregunta usted candidato Meade ¿qué país nos ofrece desde la ciencia y la tecnología?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Hay 1.2 millones de mexicanos altamente capacitados que están viviendo fuera de México, de esos, según una encuesta de Conacyt 70% están dispuestos a regresar. Lo que tenemos que hacer es generar las condiciones para que aquí en México esos mexicanos altamente capacitados, más los que estamos formando aquí, tengan un marco en las universidades, con del sector privado, con la academia para empezar a innovar y para empezar a resolver problemas con la ciencia y tecnología, al mismo tipo que incrementamos nuestro conocimiento de educación básica. Y la ciencia y la tecnología nos pueden ayudar a resolver muchos problemas, nos pueden ayudar a resolver en problema de salud, nos pueden ayudar a resolver problemas de identificación. Nosotros podríamos en el primer año de la siguiente administración, de mi administración, permitirle a todos los mexicanos, con ciencia y tecnología, que se identifiquen con su huella, que la huella sea la llave de entrada para todos y cualquiera de los trámites con la idea de hacerles la vida mucho más sencilla."
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato. Le pregunto exactamente lo mismo a usted, candidato Ricardo Anaya, cuál sería la visión de México que tiene usted desde la ciencia y la tecnología."
RICARDO ANAYA,Anaya,Candidato,"Yo no quiero echar rollos, yo voy a ser muy práctico, tener un aparato como estos…"
GABRIELA WARKENTIN,NA,Moderador,"No puede sacar el celular, candidato."
RICARDO ANAYA,Anaya,Candidato,"No tiene pila, se lo enseñe al doctor Curzio antes de que empezara el debate para que estuviera claro. Tener un aparato como estos hoy ya no es un lujo, es una necesidad, un aparato como estos le sirve a un campesino para revisar los precios de su cosecha y evitar abusos del intermediario, a una persona que tiene diabetes para poder mandar a su médico sus niveles de azúcar sin tener que trasladarse al centro de salud o al hospital, a un joven que vive en una comunidad rural alejada poder tomar un curso en línea, aprender otro idioma. Hay 30% de la población mexicana que aún no tiene acceso a estas tecnologías, la desigualdad de siglo XXI en buena medida va a ser la desigualdad digital y tecnológica. Yo me comprometo a que en mi sexenio todos los mexicanos estarán incluidos, todos contarán con una dispositivo, tableta o celular justamente para poderse insertar de lleno en ."
GABRIELA WARKENTIN,NA,Moderador,"Gracias candidato Anaya. Candidato Rodríguez Calderón, la misma pregunta."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Crecer del .5 del PIB al 1.2 para igualarnos, en principio, a España y luego seguir con Corea y luego con Alemania en los porcentajes de inversión para la ciencia, la tecnología y los datos que se necesitan…"
GABRIELA WARKENTIN,NA,Moderador,"Hasta ahora no se ha logrado, ¿cómo lo logrará usted?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Pues teniendo el dinero, lo tenemos, el dinero existe en el Gobierno, mal usado obviamente, el asistencialismo se lleva 1.5 billones de pesos, pues de ahí vamos a tomar para esto. Tecnología para la seguridad, tecnología para vender, tecnología para educar, tecnología para gobernar, eso es algo que sé hacer, yo soy un adicto a la tecnología y no se requiere mucho dinero para eso. Tenemos que tener un Gobierno tecnológico y eso quitará muchos burócratas que no son necesarios en el Gobierno, tenemos que potencializar, solamente el programa  tiene 916 millones en el presupuesto, hay que duplicarlo, duplicarlo y no se necesita cobrar más impuestos para eso. Tengo la fórmula, ya lo hicimos en Nuevo León y lo podemos hacer en el país."
GABRIELA WARKENTIN,NA,Moderador,"Decía, han hablado de innovación, han hablado de conectividad, han hablado de ciencia específica para resolver problemas, candidato López Obrador en su momento se propuso crear la Secretaría de Ciencia y Tecnología y Educación Superior, vincular la educación superior a este tema, eso se le propuso incluso al candidato Enrique Peña Nieto en su momento, al final lo que se terminó creando fue una oficina ligada a la Presidencia, sí, pero solamente para la atención de los asuntos científicos y tecnológicos ¿Usted crearía una Secretaría de Ciencia Tecnología y Educación Superior?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, vamos a fortalecer el Conacyt, vamos a fortalecer el Conacyt, decía yo en intervención pasada que la doctora María Elena Álvarez-Buylla Roces, especialista en biotecnología de la UNAM y que este año recibió el Premio Nacional de Ciencia, será la próxima directora del Conacyt. Hago este anuncio, es una científica. Es muy importante decir también que el próximo secretario de Salud, el doctor Jorge Alcocer, fue Premio Nacional de Ciencia 2015 y esta doctora, María Elena Álvarez-Buylla, Premio Nacional de Ciencia 2017. Ella va a estar a cargo del Conacyt a punto de que el sistema…"
GABRIELA WARKENTIN,NA,Moderador,"Gracias, se le acabó el tiempo candidato. Candidato José Antonio Meade, usted decía, en su intervención anterior hablaba de algunas áreas de la ciencia que tendríamos que estar apoyando. Pero creo que es fundamental que también prioricemos. Cuando se habla de ciencia y tecnología para el país, ¿cómo la va a priorizar, por áreas, por temas, por dónde?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Primero tenemos que apostarle a la educación básica, el conocimiento por el conocimiento mismo y eso nos va a ir ensanchando nuestro universo de entendimiento y nos va a ir dando posibilidades de participar en un diálogo global. Pero también la tecnología aplicada, y por eso no es suficiente con que subamos el presupuesto en todo, la respuesta a todas las preguntas no siempre es “vamos a gastar más”. En este caso quiere decir que vayamos mejorando la forma como se habla, el sector privado, la Academia y las áreas de investigación para que podamos resolver problemas. Por ejemplo, un problema que se puede resolver con tecnología es el de seguridad y el de corrupción. Podemos darle seguimiento a los flujos del dinero. Y haciéndolo…y este es un tema bien importante y bien grave. Aquí Andrés Manuel nos dijo la sesión anterior que le iba a donar dinero a los damnificados, que les iba a dar 103 millones de su partido, gastos de su partido y un poquito, como dice “El Bronco”. ¿Qué fue lo que hizo Andrés Manuel? Y para eso sirve la ciencia y tecnología, redondeo la idea y termino. Lo que hizo Andrés Manuel…"
GABRIELA WARKENTIN,NA,Moderador,"Se acabó su tiempo, candidato, se acabó su tiempo, ahorita podemos volver otra vez con usted. ¿Quiere decir algo, candidato López Obrador? No. Candidato Anaya, usted decía hace rato el tema del celular, la cuestión digital y le comento dos cosas: una, si uno va aquí a pocos kilómetros saliendo de Mérida, se nos acaba la señal de teléfono celular y no hay Internet, a 20 kilómetros, no más que ello, y ni siquiera estamos metidos ahí quién sabe en algún lugar perdido. Y eso sucede en todo el país, no es un asunto sólo de Yucatán. Entonces, le pongo ese punto como un elemento básico. Y por el otro, el día de hoy finaliza la neutralidad de la red en Estados Unidos, que ese es un tema muy importante. ¿Internet va a ser o no un servicio público? Y en México, aunque el gobierno ha apostado por la neutralidad de la red, no existen aún las reglas de operación para que esto sea realidad. Teniendo este escenario, ¿cómo piensa hacer usted un país digital?"
RICARDO ANAYA,Anaya,Candidato,"Tres cosas fundamentales. Primero, cobertura, tenemos que invertir en infraestructura para que haya señal en todo el país. Ya existe hoy la tecnología para hacerlo, muchos países lo han logrado, nosotros lo vamos a lograr. Segundo, tiene que haber Internet gratuito en todos los hospitales, en todas las escuelas del país, en todas las oficinas públicas y en todas las plazas y jardines principales de México. Cobertura, Internet gratuito y dispositivos para la gente. Informo también que a todos los estudiantes de Preparatoria y de Universidad les vamos a dotar de una Tableta, como lo hemos ya presupuestado en nuestro proyecto para lograr esas tres cosas: los dispositivos, que haya cobertura en el territorio nacional, como justamente lo señalabas, y que haya también Internet gratuito en todos los puntos que he señalado. Tener un México conectado es fundamental."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, candidato. Candidato Rodríguez Calderón, ¿cómo implicar a la iniciativa privada también para que esto no sea un gasto sólo público o mayoritariamente público, como lo sigue siendo en México el tema de ciencia y tecnología?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Precisamente liberando la iniciativa privada en este sentido. Cuando se liberaron y hubo competencia para el trabajo de los teléfonos celulares, el gasto es mucho menor para el usuario. Eso haremos, ya existe evidentemente una condición para ello, creo que debe haber mucho mayor participación de la iniciativa privada en la red digital y evidentemente en los centros de trabajo que tienen, la mayoría de las empresas existe ya una red digital, que también puede hacerse en la cobertura total, coincido con Anaya en ese sentido, todos los centros públicos de México deben de tener esa posibilidad y eso hará que nuestros jóvenes tengan la condición inclusive ya de estudiar a distancia, en las zonas más alejadas del país se puede prever que tengan cobertura digital y eso es precisamente a donde se tiene que invertir, no solamente recurso público, sino también privado. Hay que dejarle a la iniciativa privada también esa condición."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, candidato Rodríguez Calderón. Candidato López Obrador, fuga de cerebros es la otra pregunta que nos llega todo el tiempo, los jóvenes están muy preocupados con el tema de fuga de cerebros. ¿Qué les dice?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Fortalecer todo el plan de becas para científicos, tenemos muy pocos becados, el Sistema Nacional de Investigadores tiene alrededor de 30 mil investigadores."
GABRIELA WARKENTIN,NA,Moderador,"Se le acabó el tiempo, candidato. Candidato José Antonio Meade, al respecto de la fuga de cerebros."
JOSÉ ANTONIO MEADE,Meade,Candidato,"La idea, y que deje al final. ¿Y por qué la tecnología ayuda a seguridad? Acá nos dijo que iba a quitar el dinero de Morena para dárselo a los damnificados y lo que nosotros detectamos es que en ese fideicomiso, salió recoger dinero de la gente y se lo dio a los operadores políticos de Morena. Y aprovechamos para exigirle al INE una investigación completa y que reporte esos resultados."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, candidato. Candidato."
RICARDO ANAYA,Anaya,Candidato,"¿Puedo ser un comentario? He hecho propuestas muy puntuales y ahora le quiero hacer una pregunta López Obrador: A ver, ¿cuál cambio Andrés Manuel? ¿Cambio es tu pacto con Elba Esther Gordillo? ¿Cambio es tu pacto con Manuel Bartlett? ¿Cambio es tu nuevo pacto con Enrique Peña Nieto? En tu obsesión por llegar al poder ya te comprometiste a perdonarlo, a cuidarle las espaldas. Lo dijiste en televisión nacional con Loret de Mola, con Azucena Uresti y te lo digo con claridad: te convertiste en lo que tanto cuestionadas. Perdonar la corrupción no es cambio, ya no representas el cambio…"
GABRIELA WARKENTIN,NA,Moderador,"Gracias, gracias candidato Anaya. Y le queda tiempo todavía al candidato Rodríguez Calderón, por favor, para cerrar."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"La tecnología nos sirve inclusive para poder potenciar las investigaciones que se hacen en la calle, ¿no? Yo tengo un programa que se llama FBI, que quiere decir Facebook Bronco Investigation, que tenemos gente que nos dice muchas cosas en calle y que a partir de eso podemos saber si realmente los recursos públicos, como se están peleando aquí estos tres amigos nuestros, podemos investigarlos también a través de la red, ¿no? Sin necesidad de tener una investigación …"
GABRIELA WARKENTIN,NA,Moderador,"Gracias, candidato. Candidato Meade, le quedan tres segundos."
JOSÉ ANTONIO MEADE,Meade,Candidato,Los aprovecho.
GABRIELA WARKENTIN,NA,Moderador,Tres segundos.
JOSÉ ANTONIO MEADE,Meade,Candidato,Aquí el único que está indiciado por un delito es Ricardo.
GABRIELA WARKENTIN,NA,Moderador,"Sí, gracias, candidato Meade. Seguimos, Leonardo."
LEONARDO CURZIO,NA,Moderador,"Bueno, pues vamos a abordar ahora un tema que no estaba originalmente planteado en el debate, que yo celebro se haya incluido. Es el tema de la salud. Leía, candidatos, que el gasto público en salud tiene un efecto redistributivo igualador, mucho más potente que buena parte de los programas clientelares que se han desplegado en el país. Déjenme compartir con ustedes tres elementos para iniciar la conversación: uno, tenemos, a pesar de la narrativa oficial de los últimos dos sexenios sobre la cobertura universal de la salud, 20 millones de compatriotas que no tienen acceso a la salud. Tenemos un sistema absolutamente fragmentado, el IMSS, el Seguro Popular, esta por supuesto ISSSTE y hay un debate sobre cómo financiarlo, pero además tenemos un grave problema de obesidad y de diabetes en todo el país. El sistema aún para aquellos que los cubren, resulta ineficaz porque la gente prefiere gastar dinero en supermercados o en farmacias para atenderse porque el sistema público simple y llanamente no les ofrece garantías. El tema es, convendrán conmigo muy relevante. Y empiezo con usted, candidato Meade. Usted ha planteado efectivamente en su libro varios puntos sobre el tema de salud pero empiezo preguntándole: ¿desde su punto de vista habría que unificar todo el sistema de salud y como habría que financiarlo?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Lo que nosotros hemos planteado es que el tema de la burocracia debe ser un problema del gobierno. El tema de la gente debe ser saber que se puede atender en donde quiera. Tenemos tres grandes sistemas: el seguro popular, el IMSS y el ISSSTE. Y uno de los ejes centrales de nuestra propuesta es que pueda uno ir indistintamente al Seguro Popular, al IMSS o al ISSSTE, y que atrás, ya desde el punto de vista burocrático, nosotros nos hagamos cargo de ver cómo compensamos a los tres sistemas. El planteamiento implica que toda las clínicas y todos los hospitales estén 100% equipados, que todos tengan el 100% de medicinas y que todos funcionen las 24 horas, incluidos los fines de semana, para que tengamos esa atención cercana, para que abatamos ese gasto de bolsillo que se hace hoy en salud y para que tengamos un sistema ágil que funcione y que le dé respuesta a los mexicanos."
LEONARDO CURZIO,NA,Moderador,¿Es hay que pagarlo con impuestos generales o con cuotas?
JOSÉ ANTONIO MEADE,Meade,Candidato,eso implica solamente una mejor administración de los tres sistemas y una compensación del gobierno entre los sistemas para generar esa eficiencia. Implica compras consolidadas que sean obligatorias para todos en el sistema.
LEONARDO CURZIO,NA,Moderador,"En los dos últimos años, candidato Meade, se ha recortado el gasto en la salud, ¿cuánto habría que gastar para que el sistema funcionará de manera óptima, al 100 como propone usted?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"El recorte se hizo porque teníamos recursos en un fondo para gastos catastróficos de salud, eso quiere decir que de hecho, en el día a día, ni la atención ni el despliegue de los programas se afectó. Lo que tendríamos que hacer, aquí sí, es una mejor gestión de los recursos. Hemos visto cómo en el IMSSS a nivel federal se resuelve el problema de abasto de medicinas. Todos ustedes que van al IMSS, y si no tienen hoy las medicinas se les da un vale para que las puedan comprar en la farmacia que quieran, eso quiere decir que en todo el sistema, el IMSS, el ISSSTE y el Seguro Popular, vamos a poder lograr que el 100% del tiempo ahí estén las medicinas y que podamos atenderlos, inclusive los fines de semana, para que no tengamos tiempos de espera."
LEONARDO CURZIO,NA,Moderador,"Candidato Meade si un australiano, 100 australianos llegaran a un hospital con una afección cardíaca, el 7% moriría, en el caso de México el porcentaje se va hasta el 25%, o sea tres veces más posibilidades de morir, o sea el sistema no está funcionando, usted propone un Instituto Nacional para la Calidad de los Servicios de Salud, ¿para qué serviría?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Serviría para hacer modificaciones como una muy interesante que se hizo en el IMSS, en el IMSS lo que se modificó fue, no la parte médica, sino la parte del procedimiento, en el IMSS se dieron cuenta que las afecciones cárdiacas lo más importante era llevar al doctor lo más rápido posible, llevar al paciente lo más rápido posible frente al doctor, se hizo un códido que se llamaba Código Infarto que basicamente implicaba que hubiera una gente pendiente, en todas las áreas de urgencias y de tomar al paciente de la mano y ponerlo frente al doctor, ese cambio por sí mismo implico una reducción en la mortalidad del 50%, en donde se instrumento un instituto de este tipo, lo que permitiría es identificar esas innovaciones y mejorarlas."
LEONARDO CURZIO,NA,Moderador,"Candidato Meade, habla usted también usted de un piso mínimo y una política social personalizada, digamos ubicada, me recuerda un poco por lo que hicieron en  cuando hablas de eso ¿hay capacidad para gestionar eso en un país de ciento y pico de millones?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Hay capacidad tecnológica de hacerlo y el Seguro Popular es un buen ejemplo, el Seguro Popular que Andrés Manuel ha calificado de ser ni seguro, ni popular y que plantea desaparecer, hoy atiende a 53 millones de mexicanos, lo hace de manera personalizada, lo podemos hacer mejor."
RICARDO ANAYA,Anaya,Candidato,Y lo vamos a resolver en mi gobierno.
LEONARDO CURZIO,NA,Moderador,Y es también un botín de los gobernadores ¿cómo propondría usted?
JOSÉ ANTONIO MEADE,Meade,Candidato,"Y por eso hay que hacer lo mismo que hacemos en el IMSS y lo que hicimos en educación, centralizar ese gasto para asegurar que se haga con eficiencia."
GABRIELA WARKENTIN,NA,Moderador,Candidato Ricardo Anaya en temas de salud le preguntan directamente.
RICARDO ANAYA,Anaya,Candidato,Para alusiones personales le puedo contestar y después.
GABRIELA WARKENTIN,NA,Moderador,"Puede contestar por supuesto, no si quiere contestar, si quiere aprovechar el tiempo."
RICARDO ANAYA,Anaya,Candidato,El tiempo en el que estamos.
GABRIELA WARKENTIN,NA,Moderador,Adelante.
RICARDO ANAYA,Anaya,Candidato,"En el tiempo en el que estamos, pediría que no fuera de 30 segundos."
GABRIELA WARKENTIN,NA,Moderador,"Es réplica, es en el tiempo en el que estamos, vamos en el tiempo en el que estamos usted el tiempo en el que estamos para lo que usted quiera, así que les pedimos que pongan el tiempo que corre para la pregunta"
RICARDO ANAYA,Anaya,Candidato,Exactamente.
GABRIELA WARKENTIN,NA,Moderador,"Bueno, adelante."
RICARDO ANAYA,Anaya,Candidato,"Haber primero José Antonio aquí está la sentencia que contradice las acusaciones que estás diciendo en mi contra, segundo este decreto que contiene tu firma te implica a ti directamente en el último gran escándalo de corrupción de Odebrecht, yo si quiero que la gente sepa porque me han atacado tanto y porque ha habido tanta guerra sucia, porque he dicho con toda claridad que cuando yo sea presidente sí los voy a llevar ante la justicia, lo digo con absoluta serenidad pero también con firmeza, no van a quedar sin castigo casos como Ayotzinapa, la Casa Blanca, Odebrecht, ""La Estafa Maestra"". Tú José Antonio, y tu jefe Enrique Peña Nieto van a enfrentar la justicia cuando yo sea presidente de México porque eso es lo correcto, entiendo que se pusieron de acuerdo con López Obrador que ya los perdonó, pero la justicia se tiene que hacer en nuestro país, es lo correcto, lo he dicho de cara a la nación."
GABRIELA WARKENTIN,NA,Moderador,"Candidato podemos ahora si hablar del tema de salud que a la gente que nos está viendo le preocupa muchísimo, el tema de la salud, haber usted ha hablado de crear un expediente clínico electrónico, ¿por qué ahora sí?, entiendo que incluso en el Legislativo tránsito en su momento, ¿por que ahora sí y cómo lo piensa hacer?"
RICARDO ANAYA,Anaya,Candidato,"Justamente, el Expediente Clínico Electrónico es el paso previo a la convergencia, para que la gente pueda eventualmente ir de manera indistinta a un hospital general, al ISSSTE, al Seguro Social y atenderse de mejor manera. Hay dos cosas que son clave primero, la atención, más allá del discurso de los políticos de siempre, la realidad es que la gente va a la clínica, al centro de salud, al hospital, no hay medicinas suficientes, la gente que nos ve lo sabe, no hay médicos suficientes, no se diga en fin de semana, por las noches, lo primero que tenemos que garantizar son médicos, enfermeras y medicinas en todas las clínicas y centros de saud del país. Y lo segundo, Gaby la prevención, porque hoy la gente se está enfermando de enfermedades crónico-degenerativas, que no son contagiosas, , que acompañan periodos muy largos de la vida, diabetes, hipertensión, cáncer y éstas enfermedades las necesitamos prevenir cómo, alimentación adecuada, deporte, necesitamos promover el deporte desde la primaria, generar buenos hábitos y por supuesto, consulta preventiva, lo que se conoce como la consulta de sanos, que no vayamos al médico cuando ya estemos enfermos."
